Book_id,Branch_id,No_of_copies
0316769487,4,1
0316769487,5,0
0345298063,1,1
0345298063,2,0
0345298063,3,1
0345298063,4,0
0345298063,5,0
0345313860,1,1
0345313860,2,1
0345313860,3,0
0345313860,4,0
0345313860,5,0
0345337662,1,0
0345337662,2,0
0345337662,3,1
0345337662,4,0
0345337662,5,1
0345350499,1,1
0345350499,2,1
0345350499,3,0
0345350499,4,1
0345350499,5,1
0345370775,1,1
0345370775,2,1
0345370775,3,0
0345370775,4,0
0345370775,5,1
0345377648,1,1
0345377648,2,1
0345377648,3,0
0345377648,4,1
0345377648,5,1
0345384466,1,1
0345384466,2,1
0345384466,3,0
0345384466,4,1
0345384466,5,1
034538475X,1,0
034538475X,2,1
034538475X,3,1
034538475X,4,0
034538475X,5,0
0345417623,1,1
0345417623,2,0
0345417623,3,0
0345417623,4,1
0345417623,5,1
0345419758,1,1
0345419758,2,1
0345419758,3,0
0345419758,4,0
0345419758,5,1
0345438310,1,0
0345438310,2,1
0345438310,3,1
0345438310,4,1
0345438310,5,2
0374141231,1,1
0374141231,2,1
0374141231,3,0
0374141231,4,1
0374141231,5,0
0375400818,1,1
0375400818,2,1
0375400818,3,2
0375400818,4,0
0375400818,5,1
037541164X,1,0
037541164X,2,0
037541164X,3,0
037541164X,4,0
037541164X,5,1
0375502025,1,1
0375502025,2,1
0375502025,3,0
0375502025,4,0
0375502025,5,0
0375810609,1,1
0375810609,2,1
0375810609,3,1
0375810609,4,0
0375810609,5,0
038071115X,1,1
038071115X,2,0
038071115X,3,1
038071115X,4,0
038071115X,5,1
0385326653,1,1
0385326653,2,1
0385326653,3,0
0385326653,4,1
0385326653,5,0
0385479565,1,0
0385479565,2,1
0385479565,3,1
0385479565,4,1
0385479565,5,1
0387987010,1,1
0387987010,2,1
0387987010,3,0
0387987010,4,0
0387987010,5,1
0393314251,1,1
0393314251,2,0
0393314251,3,0
0393314251,4,1
0393314251,5,0
0393316009,1,1
0393316009,2,1
0393316009,3,0
0393316009,4,0
0393316009,5,1
0395851580,1,1
0395851580,2,1
0395851580,3,1
0395851580,4,1
0395851580,5,1
039914563X,1,1
039914563X,2,1
039914563X,3,1
039914563X,4,1
039914563X,5,1
0399146652,1,1
0399146652,2,0
0399146652,3,1
0399146652,4,1
0399146652,5,1
0399147020,1,1
0399147020,2,1
0399147020,3,1
0399147020,4,1
0399147020,5,0
0399501487,1,1
0399501487,2,1
0399501487,3,1
0399501487,4,1
0399501487,5,1
042510107X,1,1
042510107X,2,1
042510107X,3,1
042510107X,4,1
042510107X,5,1
0425133540,1,1
0425133540,2,0
0425133540,3,0
0425133540,4,1
0425133540,5,0
0425143325,1,1
0425143325,2,1
0425143325,3,1
0425143325,4,1
0425143325,5,1
0425147584,1,1
0425147584,2,1
0425147584,3,1
0425147584,4,1
0425147584,5,1
0439064864,1,0
0439064864,2,1
0439064864,3,1
0439064864,4,0
0439064864,5,0
0439136350,1,1
0439136350,2,1
0439136350,3,0
0439136350,4,0
0439136350,5,0
0439139597,1,0
0439139597,2,0
0439139597,3,1
0439139597,4,0
0439139597,5,1
0440413729,1,1
0440413729,2,1
0440413729,3,1
0440413729,4,1
0440413729,5,1
0446310783,1,1
0446310783,2,1
0446310783,3,0
0446310783,4,1
0446310783,5,1
0449202496,1,1
0449202496,2,1
0449202496,3,0
0449202496,4,1
0449202496,5,0
0449911942,1,0
0449911942,2,0
0449911942,3,1
0449911942,4,0
0449911942,5,1
0452272971,1,1
0452272971,2,1
0452272971,3,0
0452272971,4,1
0452272971,5,0
0465041752,1,1
0465041752,2,1
0465041752,3,1
0465041752,4,1
0465041752,5,0
0471105597,1,0
0471105597,2,1
0471105597,3,0
0471105597,4,0
0471105597,5,1
0471135615,1,1
0471135615,2,1
0471135615,3,1
0471135615,4,1
0471135615,5,1
0471169196,1,1
0471169196,2,1
0471169196,3,1
0471169196,4,1
0471169196,5,0
0471534781,1,1
0471534781,2,1
0471534781,3,0
0471534781,4,1
0471534781,5,1
0471587192,1,1
0471587192,2,1
0471587192,3,1
0471587192,4,0
0471587192,5,0
0471597619,1,1
0471597619,2,1
0471597619,3,0
0471597619,4,1
0471597619,5,1
0505523078,1,0
0505523078,2,0
0505523078,3,0
0505523078,4,1
0505523078,5,1
0517707950,1,1
0517707950,2,2
0517707950,3,0
0517707950,4,1
0517707950,5,0
0528838180,1,0
0528838180,2,1
0528838180,3,0
0528838180,4,1
0528838180,5,0
0531164497,1,1
0531164497,2,1
0531164497,3,0
0531164497,4,1
0531164497,5,1
0534368018,1,1
0534368018,2,1
0534368018,3,1
0534368018,4,1
0534368018,5,1
0534944469,1,1
0534944469,2,0
0534944469,3,1
0534944469,4,1
0534944469,5,1
0553102370,1,1
0553102370,2,1
0553102370,3,1
0553102370,4,1
0553102370,5,1
0553283936,1,1
0553283936,2,1
0553283936,3,1
0553283936,4,1
0553283936,5,1
0553575538,1,2
0553575538,2,1
0553575538,3,0
0553575538,4,1
0553575538,5,1
0553577476,1,0
0553577476,2,1
0553577476,3,1
0553577476,4,0
0553577476,5,0
0590262540,1,0
0590262540,2,0
0590262540,3,1
0590262540,4,1
0590262540,5,1
0590494368,1,0
0590494368,2,1
0590494368,3,0
0590494368,4,0
0590494368,5,0
0590494414,1,1
0590494414,2,1
0590494414,3,1
0590494414,4,1
0590494414,5,1
0590496379,1,1
0590496379,2,1
0590496379,3,0
0590496379,4,1
0590496379,5,1
0590956159,1,1
0590956159,2,1
0590956159,3,1
0590956159,4,1
0590956159,5,1
0596000278,1,0
0596000278,2,1
0596000278,3,1
0596000278,4,0
0596000278,5,0
0609607995,1,0
0609607995,2,1
0609607995,3,0
0609607995,4,0
0609607995,5,1
0618056777,1,1
0618056777,2,1
0618056777,3,0
0618056777,4,0
0618056777,5,1
062593460X,1,1
062593460X,2,0
062593460X,3,0
062593460X,4,0
062593460X,5,0
0669076791,1,1
0669076791,2,0
0669076791,3,1
0669076791,4,0
0669076791,5,0
067100767X,1,1
067100767X,2,1
067100767X,3,1
067100767X,4,0
067100767X,5,1
0671032658,1,1
0671032658,2,1
0671032658,3,0
0671032658,4,1
0671032658,5,1
0671047310,1,0
0671047310,2,1
0671047310,3,1
0671047310,4,1
0671047310,5,0
0671880756,1,0
0671880756,2,1
0671880756,3,1
0671880756,4,1
0671880756,5,0
0672314800,1,1
0672314800,2,0
0672314800,3,1
0672314800,4,1
0672314800,5,0
0672319241,1,1
0672319241,2,1
0672319241,3,1
0672319241,4,0
0672319241,5,1
0674003306,1,1
0674003306,2,1
0674003306,3,1
0674003306,4,1
0674003306,5,1
067944551X,1,1
067944551X,2,0
067944551X,3,0
067944551X,4,1
067944551X,5,1
067976674X,1,1
067976674X,2,0
067976674X,3,1
067976674X,4,1
067976674X,5,1
0684801523,1,1
0684801523,2,0
0684801523,3,0
0684801523,4,1
0684801523,5,0
0684818701,1,1
0684818701,2,0
0684818701,3,1
0684818701,4,0
0684818701,5,1
0684856093,1,1
0684856093,2,0
0684856093,3,1
0684856093,4,0
0684856093,5,0
0684869519,1,1
0684869519,2,0
0684869519,3,0
0684869519,4,0
0684869519,5,1
0688069711,1,0
0688069711,2,1
0688069711,3,1
0688069711,4,0
0688069711,5,1
0688127371,1,1
0688127371,2,0
0688127371,3,1
0688127371,4,0
0688127371,5,1
0688160999,1,1
0688160999,2,1
0688160999,3,1
0688160999,4,1
0688160999,5,0
0688161995,1,1
0688161995,2,1
0688161995,3,1
0688161995,4,1
0688161995,5,0
0688163165,1,1
0688163165,2,1
0688163165,3,1
0688163165,4,1
0688163165,5,0
0689813813,1,1
0689813813,2,1
0689813813,3,0
0689813813,4,1
0689813813,5,1
0689829418,1,1
0689829418,2,1
0689829418,3,1
0689829418,4,1
0689829418,5,0
0689829531,1,0
0689829531,2,1
0689829531,3,1
0689829531,4,1
0689829531,5,1
0689836015,1,0
0689836015,2,1
0689836015,3,1
0689836015,4,1
0689836015,5,1
0716736381,1,0
0716736381,2,1
0716736381,3,0
0716736381,4,1
0716736381,5,1
0737800033,1,1
0737800033,2,1
0737800033,3,1
0737800033,4,1
0737800033,5,1
0738201960,1,1
0738201960,2,1
0738201960,3,1
0738201960,4,1
0738201960,5,1
0738204374,1,1
0738204374,2,1
0738204374,3,1
0738204374,4,0
0738204374,5,0
0743202104,1,1
0743202104,2,1
0743202104,3,0
0743202104,4,1
0743202104,5,0
0743215052,1,1
0743215052,2,1
0743215052,3,1
0743215052,4,0
0743215052,5,1
0750650869,1,0
0750650869,2,1
0750650869,3,1
0750650869,4,1
0750650869,5,1
0760049254,1,1
0760049254,2,1
0760049254,3,1
0760049254,4,0
0760049254,5,1
0761117199,1,1
0761117199,2,1
0761117199,3,0
0761117199,4,2
0761117199,5,0
076454621X,1,1
076454621X,2,1
076454621X,3,1
076454621X,4,1
076454621X,5,1
0764547161,1,0
0764547161,2,0
0764547161,3,1
0764547161,4,1
0764547161,5,1
0767903854,1,1
0767903854,2,1
0767903854,3,1
0767903854,4,1
0767903854,5,1
0789305003,1,1
0789305003,2,0
0789305003,3,2
0789305003,4,1
0789305003,5,1
0789404257,1,1
0789404257,2,1
0789404257,3,1
0789404257,4,0
0789404257,5,0
0792393651,1,0
0792393651,2,0
0792393651,3,0
0792393651,4,1
0792393651,5,1
0805057579,1,0
0805057579,2,0
0805057579,3,1
0805057579,4,1
0805057579,5,1
0805317554,1,0
0805317554,2,0
0805317554,3,1
0805317554,4,0
0805317554,5,0
0807825859,1,1
0807825859,2,1
0807825859,3,1
0807825859,4,1
0807825859,5,1
0809299674,1,0
0809299674,2,1
0809299674,3,1
0809299674,4,0
0809299674,5,0
0810936852,1,1
0810936852,2,0
0810936852,3,1
0810936852,4,1
0810936852,5,1
0810961695,1,1
0810961695,2,1
0810961695,3,1
0810961695,4,0
0810961695,5,1
0811213668,1,1
0811213668,2,1
0811213668,3,1
0811213668,4,1
0811213668,5,1
0811716937,1,1
0811716937,2,1
0811716937,3,1
0811716937,4,0
0811716937,5,1
0811826848,1,0
0811826848,2,0
0811826848,3,1
0811826848,4,0
0811826848,5,1
0812093119,1,2
0812093119,2,1
0812093119,3,0
0812093119,4,1
0812093119,5,0
0812520610,1,1
0812520610,2,1
0812520610,3,1
0812520610,4,0
0812520610,5,0
0812520629,1,0
0812520629,2,0
0812520629,3,0
0812520629,4,1
0812520629,5,1
0813527406,1,1
0813527406,2,0
0813527406,3,1
0813527406,4,0
0813527406,5,0
0821762559,1,1
0821762559,2,0
0821762559,3,1
0821762559,4,1
0821762559,5,0
083512035x,1,0
083512035x,2,1
083512035x,3,1
083512035x,4,1
083512035x,5,0
0838479022,1,0
0838479022,2,0
0838479022,3,1
0838479022,4,1
0838479022,5,1
0849323754,1,1
0849323754,2,1
0849323754,3,1
0849323754,4,1
0849323754,5,0
0850668093,1,0
0850668093,2,1
0850668093,3,1
0850668093,4,1
0850668093,5,1
0864426429,1,1
0864426429,2,1
0864426429,3,0
0864426429,4,1
0864426429,5,1
0870212850,1,1
0870212850,2,0
0870212850,3,0
0870212850,4,1
0870212850,5,1
0874779758,1,0
0874779758,2,0
0874779758,3,1
0874779758,4,1
0874779758,5,0
0882664778,1,1
0882664778,2,1
0882664778,3,1
0882664778,4,1
0882664778,5,0
0887251714,1,0
0887251714,2,1
0887251714,3,1
0887251714,4,0
0887251714,5,1
0910146691,1,1
0910146691,2,1
0910146691,3,1
0910146691,4,1
0910146691,5,4
0911625291,1,0
0911625291,2,0
0911625291,3,1
0911625291,4,1
0911625291,5,1
0911625453,1,0
0911625453,2,1
0911625453,3,1
0911625453,4,1
0911625453,5,1
0911625593,1,1
0911625593,2,1
0911625593,3,1
0911625593,4,1
0911625593,5,1
0911625607,1,0
0911625607,2,1
0911625607,3,1
0911625607,4,0
0911625607,5,0
0911625852,1,0
0911625852,2,1
0911625852,3,1
0911625852,4,1
0911625852,5,0
0932813739,1,1
0932813739,2,0
0932813739,3,1
0932813739,4,1
0932813739,5,1
0935039031,1,1
0935039031,2,1
0935039031,3,1
0935039031,4,0
0935039031,5,1
0935112510,1,1
0935112510,2,1
0935112510,3,1
0935112510,4,1
0935112510,5,1
093570261x,1,1
093570261x,2,0
093570261x,3,1
093570261x,4,0
093570261x,5,1
0936184388,1,1
0936184388,2,1
0936184388,3,0
0936184388,4,1
0936184388,5,1
0961470151,1,1
0961470151,2,0
0961470151,3,1
0961470151,4,0
0961470151,5,1
0961549890,1,1
0961549890,2,0
0961549890,3,1
0961549890,4,1
0961549890,5,1
0962477060,1,1
0962477060,2,1
0962477060,3,0
0962477060,4,1
0962477060,5,1
0966625307,1,1
0966625307,2,0
0966625307,3,0
0966625307,4,1
0966625307,5,1
0967174805,1,1
0967174805,2,1
0967174805,3,1
0967174805,4,1
0967174805,5,1
0967697603,1,0
0967697603,2,1
0967697603,3,0
0967697603,4,1
0967697603,5,1
1552047210,1,0
1552047210,2,0
1552047210,3,1
1552047210,4,0
1552047210,5,1
1557044287,1,0
1557044287,2,1
1557044287,3,0
1557044287,4,0
1557044287,5,1
1565922840,1,1
1565922840,2,1
1565922840,3,1
1565922840,4,1
1565922840,5,1
1565926099,1,1
1565926099,2,1
1565926099,3,1
1565926099,4,1
1565926099,5,1
